from,to,type,evidence_tag,note
BC-PRQ-04004,BC-SKL-04001,supporting,inferred,Prerequisite for State the units of a derivative in context.
BC-PRQ-04004,BC-SKL-04002,supporting,inferred,Prerequisite for Write a sentence interpreting a derivative value in context.
BC-PRQ-04008,BC-SKL-04002,supporting,inferred,Prerequisite for Write a sentence interpreting a derivative value in context.
BC-PRQ-04008,BC-SKL-04003,supporting,inferred,Prerequisite for Distinguish the value of a function from the value of its derivative in context.
BC-PRQ-04004,BC-SKL-04004,supporting,inferred,Prerequisite for Approximate a derivative from an average rate of change with units.
BC-PRQ-04008,BC-SKL-04005,supporting,inferred,Prerequisite for Interpret the sign and size of a derivative in context.
BC-PRQ-04008,BC-SKL-04006,supporting,inferred,Prerequisite for Differentiate a position function to obtain velocity.
BC-PRQ-04008,BC-SKL-04007,supporting,inferred,Prerequisite for Differentiate a velocity function to obtain acceleration.
BC-PRQ-04005,BC-SKL-04008,supporting,inferred,Prerequisite for Compute the speed of a particle from its velocity.
BC-PRQ-04009,BC-SKL-04009,supporting,inferred,Prerequisite for Determine the direction of motion from the sign of velocity.
BC-PRQ-04005,BC-SKL-04010,supporting,inferred,Prerequisite for Determine whether speed is increasing from the signs of velocity and acceleration.
BC-PRQ-04009,BC-SKL-04011,supporting,inferred,Prerequisite for Find when a particle is at rest or changes direction.
BC-PRQ-04009,BC-SKL-04012,supporting,inferred,Prerequisite for Communicate a sign analysis of velocity across a whole interval.
BC-PRQ-04008,BC-SKL-04013,supporting,inferred,Prerequisite for Identify the quantity and its independent variable in a non-motion context.
BC-PRQ-04004,BC-SKL-04014,supporting,inferred,Prerequisite for Compute and report a rate of change with context-appropriate units.
BC-PRQ-04008,BC-SKL-04015,supporting,inferred,Prerequisite for Use context vocabulary rather than motion vocabulary.
BC-PRQ-04008,BC-SKL-04016,supporting,inferred,Prerequisite for Interpret an end behaviour limit of a rate in context.
BC-PRQ-04008,BC-SKL-04017,supporting,inferred,Prerequisite for Identify the variables and which rates are given and wanted.
BC-PRQ-04001,BC-SKL-04018,supporting,inferred,Prerequisite for Write an equation relating the varying quantities.
BC-PRQ-04002,BC-SKL-04018,supporting,inferred,Prerequisite for Write an equation relating the varying quantities.
