from,to,type,evidence_tag,note
BC-SKL-08001,BC-SKL-08002,supporting,inferred,The graph route evaluates the same quotient with area in place of an antiderivative.
BC-SKL-08001,BC-SKL-08003,hard_prerequisite,inferred,The calculator presentation shows the quotient the formula defines.
BC-SKL-08001,BC-SKL-08004,hard_prerequisite,inferred,Telling the two averages apart needs the integral quotient in hand.
BC-SKL-08001,BC-SKL-08005,supporting,inferred,Units of the average follow from the integrand in the formula.
BC-SKL-08006,BC-SKL-08007,hard_prerequisite,inferred,Total distance is the displacement integral with the integrand replaced by speed.
BC-SKL-08007,BC-SKL-08008,hard_prerequisite,inferred,Splitting at the sign changes is how the speed integral is evaluated by hand.
BC-SKL-08006,BC-SKL-08009,hard_prerequisite,inferred,Position accumulates the displacement integral onto the initial value.
BC-SKL-08009,BC-SKL-08010,supporting,inferred,The velocity from acceleration accumulation repeats the position pattern one derivative down.
BC-SKL-08006,BC-SKL-08011,hard_prerequisite,inferred,Choosing the integrand requires knowing the displacement integral.
BC-SKL-08007,BC-SKL-08011,hard_prerequisite,inferred,Choosing the integrand requires knowing the total distance integral.
BC-SKL-08009,BC-SKL-08012,supporting,inferred,The applied accumulation is the motion accumulation with a general rate.
BC-SKL-08013,BC-SKL-08014,hard_prerequisite,inferred,The candidate times come from setting the net rate equal to zero.
BC-SKL-08012,BC-SKL-08014,hard_prerequisite,inferred,Evaluating the amount at every candidate needs the accumulation expression.
BC-SKL-08012,BC-SKL-08015,supporting,inferred,Interpreting the integral draws on the accumulation reading of it.
BC-SKL-08013,BC-SKL-08016,supporting,inferred,Many applied prompts ask for the net of an inflow and an outflow.
BC-SKL-08016,BC-SKL-08017,hard_prerequisite,inferred,The integral must be written before it can be evaluated and reported.
BC-SKL-08015,BC-SKL-08017,supporting,inferred,Reporting in context reuses the quantity and units reading.
BC-SKL-08018,BC-SKL-08019,hard_prerequisite,inferred,The order of subtraction is fixed by which curve is upper.
BC-SKL-08020,BC-SKL-08019,hard_prerequisite,inferred,The limits of the area integral are the intersection inputs.
BC-SKL-08020,BC-SKL-08021,supporting,inferred,The calculator solve replaces the algebraic solve for the same limits.
BC-SKL-08021,BC-SKL-08019,supporting,inferred,Stored calculator solutions serve as the limits when exact ones are unavailable.
BC-SKL-08019,BC-SKL-08022,hard_prerequisite,inferred,The area integral must be set up before it is evaluated.
BC-SKL-08023,BC-SKL-08024,hard_prerequisite,inferred,Comparing x values requires both curves written in y.
BC-SKL-08023,BC-SKL-08025,hard_prerequisite,inferred,The integrand in y needs both curves solved for x.
BC-SKL-08024,BC-SKL-08025,hard_prerequisite,inferred,The order right minus left is fixed by which curve gives the larger x.
BC-SKL-08019,BC-SKL-08025,hard_prerequisite,inferred,The y integral mirrors the upper minus lower setup in x.
BC-SKL-08019,BC-SKL-08026,hard_prerequisite,inferred,Choosing the variable means comparing the x setup against the y setup.
BC-SKL-08025,BC-SKL-08026,hard_prerequisite,inferred,Choosing the variable means comparing the y setup against the x setup.
BC-SKL-08020,BC-SKL-08027,hard_prerequisite,inferred,Locating every intersection extends the two point intersection solve.
BC-SKL-08027,BC-SKL-08028,hard_prerequisite,inferred,The subintervals to test are the ones the ordered intersections define.
BC-SKL-08018,BC-SKL-08028,hard_prerequisite,inferred,Fixing the order on each subinterval is the upper curve test repeated.
BC-SKL-08028,BC-SKL-08029,hard_prerequisite,inferred,Each summand is written from the order found on its subinterval.
BC-SKL-08019,BC-SKL-08029,hard_prerequisite,inferred,Each summand is a single upper minus lower area integral.
BC-SKL-08022,BC-SKL-08029,supporting,inferred,The pieces are evaluated the way a single area integral is.
BC-SKL-08019,BC-SKL-08030,hard_prerequisite,inferred,The absolute value integrand is the difference the area setup already uses.
BC-SKL-08029,BC-SKL-08030,supporting,inferred,The single absolute value integral replaces the sum over subintervals.
BC-SKL-08018,BC-SKL-08031,hard_prerequisite,inferred,The cross section side is a difference taken in the order the upper curve sets.
BC-SKL-08019,BC-SKL-08031,supporting,inferred,The side reuses the difference of boundary functions from the area setup.
BC-SKL-08031,BC-SKL-08032,hard_prerequisite,inferred,The square of the side is the area of the square cross section.
BC-SKL-08031,BC-SKL-08033,hard_prerequisite,inferred,One dimension of the rectangle is the distance between the curves.
BC-SKL-08026,BC-SKL-08034,hard_prerequisite,inferred,Selecting the variable of slicing is the same decision as choosing the variable of integration.
BC-SKL-08032,BC-SKL-08035,hard_prerequisite,inferred,The integral to evaluate is the one the square cross section produced.
BC-SKL-08033,BC-SKL-08035,hard_prerequisite,inferred,The integral to evaluate is the one the rectangular cross section produced.
BC-SKL-08031,BC-SKL-08036,hard_prerequisite,inferred,The equilateral area is written from the distance between the curves.
BC-SKL-08031,BC-SKL-08037,hard_prerequisite,inferred,The leg or hypotenuse is the distance between the curves.
BC-SKL-08031,BC-SKL-08038,hard_prerequisite,inferred,The diameter is the distance between the curves.
BC-SKL-08036,BC-SKL-08039,hard_prerequisite,inferred,The integrand is the equilateral area formula.
BC-SKL-08037,BC-SKL-08039,hard_prerequisite,inferred,The integrand is the right isosceles area formula.
BC-SKL-08038,BC-SKL-08039,hard_prerequisite,inferred,The integrand is the semicircular area formula.
BC-SKL-08035,BC-SKL-08039,supporting,inferred,Evaluation repeats the square cross section evaluation.
BC-SKL-08031,BC-SKL-08040,hard_prerequisite,inferred,The radius is a distance between two boundaries read the same way.
BC-SKL-08040,BC-SKL-08041,hard_prerequisite,inferred,The integrand is the square of the radius.
BC-SKL-08040,BC-SKL-08042,hard_prerequisite,inferred,"The integrand is the square of the radius, taken in y."
BC-SKL-08023,BC-SKL-08042,hard_prerequisite,inferred,Revolving about the y axis needs the curve as a function of y.
BC-SKL-08032,BC-SKL-08041,supporting,inferred,The disc integral is a cross section integral with a circular area.
BC-SKL-08041,BC-SKL-08043,hard_prerequisite,inferred,The disc integral must be set up before it is evaluated.
BC-SKL-08042,BC-SKL-08043,supporting,inferred,The y axis disc integral is evaluated the same way.
BC-SKL-08040,BC-SKL-08044,hard_prerequisite,inferred,The shifted radius is the unshifted radius with the line in place of the axis.
BC-SKL-08040,BC-SKL-08045,hard_prerequisite,inferred,The shifted radius in y is the unshifted radius with the line in place of the axis.
BC-SKL-08023,BC-SKL-08045,hard_prerequisite,inferred,Distance to a vertical line needs the curve expressed in y.
BC-SKL-08044,BC-SKL-08046,hard_prerequisite,inferred,The integrand is the square of the shifted radius.
BC-SKL-08045,BC-SKL-08046,supporting,inferred,The vertical line case supplies the same shifted radius in y.
BC-SKL-08041,BC-SKL-08046,hard_prerequisite,inferred,The shifted disc integral is the axis disc integral with a shifted radius.
BC-SKL-08046,BC-SKL-08047,hard_prerequisite,inferred,Seeing that the limits do not move requires the shifted setup in front of you.
BC-SKL-08040,BC-SKL-08048,hard_prerequisite,inferred,Both radii are distances from a curve to the axis.
BC-SKL-08019,BC-SKL-08048,hard_prerequisite,inferred,Deciding which curve is farther repeats the upper curve comparison.
BC-SKL-08048,BC-SKL-08049,hard_prerequisite,inferred,The integrand needs the outer and inner radii assigned.
BC-SKL-08041,BC-SKL-08049,hard_prerequisite,inferred,The washer integral is the disc integral with an inner disc removed.
BC-SKL-08019,BC-SKL-08049,hard_prerequisite,inferred,The region revolved is the area between curves region.
BC-SKL-08043,BC-SKL-08049,supporting,inferred,The factor of pi is carried as in the disc case.
BC-SKL-08048,BC-SKL-08050,hard_prerequisite,inferred,The integrand in y needs the outer and inner radii assigned.
BC-SKL-08042,BC-SKL-08050,hard_prerequisite,inferred,The washer integral in y is the disc integral in y with an inner disc removed.
BC-SKL-08023,BC-SKL-08050,hard_prerequisite,inferred,Both boundaries must be written as functions of y.
BC-SKL-08049,BC-SKL-08051,hard_prerequisite,inferred,The warning is about the integrand the washer setup produces.
BC-SKL-08048,BC-SKL-08052,hard_prerequisite,inferred,The shifted radii are the axis radii measured to the line instead.
BC-SKL-08044,BC-SKL-08052,hard_prerequisite,inferred,Each radius is a distance from a curve to a horizontal line.
BC-SKL-08048,BC-SKL-08053,hard_prerequisite,inferred,The shifted radii in y are the axis radii measured to the line instead.
BC-SKL-08045,BC-SKL-08053,hard_prerequisite,inferred,Each radius is a distance from a curve to a vertical line.
BC-SKL-08052,BC-SKL-08054,hard_prerequisite,inferred,Comparing the two distances presupposes both are written.
BC-SKL-08054,BC-SKL-08055,hard_prerequisite,inferred,The outer and inner assignment fixes the order of subtraction.
BC-SKL-08049,BC-SKL-08055,hard_prerequisite,inferred,The shifted washer integral is the axis washer integral with shifted radii.
BC-SKL-08046,BC-SKL-08055,hard_prerequisite,inferred,The shifted disc setup supplies the shifted radius form.
BC-SKL-08051,BC-SKL-08055,hard_prerequisite,inferred,The integrand subtracts the squares rather than squaring the difference.
BC-SKL-08056,BC-SKL-08057,hard_prerequisite,inferred,Substituting a derivative into the integrand presupposes the integrand.
BC-SKL-08056,BC-SKL-08058,hard_prerequisite,inferred,Recognising the form requires knowing what the form is.
BC-SKL-08057,BC-SKL-08059,hard_prerequisite,inferred,The integral must be assembled before it is evaluated numerically.
BC-SKL-08056,BC-SKL-08059,supporting,inferred,The integrand evaluated is the arc length integrand.
BC-SKL-06031,BC-SKL-08008,hard_prerequisite,inferred,Summing over subintervals uses the adjacent interval property.
BC-SKL-05026,BC-SKL-08014,hard_prerequisite,inferred,The global justification compares the amount at every candidate.
BC-SKL-06034,BC-SKL-08017,hard_prerequisite,inferred,The accumulation integral is evaluated by antidifferentiation and endpoint substitution.
BC-SKL-06050,BC-SKL-08022,supporting,inferred,Area integrands often need a substitution with the limits changed.
BC-SKL-06034,BC-SKL-08035,hard_prerequisite,inferred,The expanded cross section integrand is antidifferentiated and evaluated at the endpoints.
BC-SKL-06034,BC-SKL-08039,hard_prerequisite,inferred,The named cross section integral is antidifferentiated and evaluated at the endpoints.
BC-SKL-06034,BC-SKL-08043,hard_prerequisite,inferred,The disc integral is antidifferentiated and evaluated at the endpoints.
BC-SKL-03002,BC-SKL-08057,supporting,inferred,Differentiating the given function often needs the chain rule.
BC-SKL-06047,BC-SKL-08057,supporting,inferred,Arc length integrands are sometimes reduced by a substitution.
