from,to,type,evidence_tag,note
BC-PRQ-05004,BC-SKL-05001,supporting,inferred,Prerequisite for State the hypotheses of the Mean Value Theorem for a function and an interval.
BC-SKL-05001,BC-SKL-05002,hard_prerequisite,inferred,Prerequisite for Verify that the hypotheses hold on the given interval.
BC-PRQ-05008,BC-SKL-05003,supporting,inferred,Prerequisite for Compute the average rate of change over a closed interval.
BC-PRQ-06005,BC-SKL-05003,supporting,inferred,Prerequisite for Compute the average rate of change over a closed interval.
BC-SKL-05002,BC-SKL-05004,hard_prerequisite,inferred,Prerequisite for Conclude that a point with the average rate exists on the open interval.
BC-SKL-05003,BC-SKL-05004,hard_prerequisite,inferred,Prerequisite for Conclude that a point with the average rate exists on the open interval.
BC-SKL-05003,BC-SKL-05005,hard_prerequisite,inferred,Prerequisite for Solve for a value of c that the theorem provides.
BC-PRQ-05001,BC-SKL-05005,supporting,inferred,Prerequisite for Solve for a value of c that the theorem provides.
BC-SKL-05003,BC-SKL-05006,hard_prerequisite,inferred,Prerequisite for Justify that a derivative takes a particular value using equal endpoint outputs.
BC-SKL-05004,BC-SKL-05006,hard_prerequisite,inferred,Prerequisite for Justify that a derivative takes a particular value using equal endpoint outputs.
BC-PRQ-05004,BC-SKL-05007,supporting,inferred,Prerequisite for State the hypothesis of the Extreme Value Theorem.
BC-SKL-05007,BC-SKL-05008,hard_prerequisite,inferred,Prerequisite for Verify continuity on the closed interval before applying the theorem.
BC-SKL-05008,BC-SKL-05009,hard_prerequisite,inferred,Prerequisite for Conclude that a minimum value and a maximum value exist.
BC-PRQ-05001,BC-SKL-05010,supporting,inferred,Prerequisite for Determine critical points where the first derivative equals zero.
BC-PRQ-05003,BC-SKL-05010,supporting,inferred,Prerequisite for Determine critical points where the first derivative equals zero.
BC-PRQ-05001,BC-SKL-05011,supporting,inferred,Prerequisite for Determine critical points where the first derivative fails to exist.
BC-PRQ-05003,BC-SKL-05011,supporting,inferred,Prerequisite for Determine critical points where the first derivative fails to exist.
BC-PRQ-05006,BC-SKL-05012,supporting,inferred,Prerequisite for Distinguish a relative extremum from an absolute extremum.
BC-SKL-05010,BC-SKL-05013,hard_prerequisite,inferred,Prerequisite for Explain why a critical point need not be a relative extremum.
BC-PRQ-05001,BC-SKL-05014,supporting,inferred,Prerequisite for Determine where the first derivative is positive or negative from a formula.
BC-PRQ-05002,BC-SKL-05014,supporting,inferred,Prerequisite for Determine where the first derivative is positive or negative from a formula.
BC-PRQ-05006,BC-SKL-05015,supporting,inferred,Prerequisite for Read intervals of increase and decrease from the graph of the derivative.
BC-SKL-05014,BC-SKL-05016,hard_prerequisite,inferred,Prerequisite for Build a sign chart on critical points and domain boundaries.
BC-PRQ-05003,BC-SKL-05016,supporting,inferred,Prerequisite for Build a sign chart on critical points and domain boundaries.
BC-SKL-05016,BC-SKL-05017,hard_prerequisite,inferred,Prerequisite for Justify increase or decrease from the sign of the named derivative.
BC-PRQ-05003,BC-SKL-05018,supporting,inferred,Prerequisite for Restrict a monotonicity conclusion to the domain of the function.
BC-SKL-05016,BC-SKL-05018,hard_prerequisite,inferred,Prerequisite for Restrict a monotonicity conclusion to the domain of the function.
BC-SKL-05010,BC-SKL-05019,hard_prerequisite,inferred,Prerequisite for Assemble the candidate relative extrema at the critical points.
BC-SKL-05011,BC-SKL-05019,hard_prerequisite,inferred,Prerequisite for Assemble the candidate relative extrema at the critical points.
BC-SKL-05016,BC-SKL-05020,hard_prerequisite,inferred,Prerequisite for Classify a critical point from the sign change of the first derivative.
BC-SKL-05019,BC-SKL-05020,hard_prerequisite,inferred,Prerequisite for Classify a critical point from the sign change of the first derivative.
BC-SKL-05020,BC-SKL-05021,hard_prerequisite,inferred,Prerequisite for Conclude neither extremum when the derivative keeps its sign.
BC-SKL-05020,BC-SKL-05022,hard_prerequisite,inferred,Prerequisite for Write a first derivative test justification with an explicit referent.
BC-SKL-05020,BC-SKL-05023,hard_prerequisite,inferred,Prerequisite for Separate the location of a relative extremum from its value.
BC-SKL-05010,BC-SKL-05024,hard_prerequisite,inferred,Prerequisite for Assemble the candidate list from critical points and both endpoints.
BC-SKL-05011,BC-SKL-05024,hard_prerequisite,inferred,Prerequisite for Assemble the candidate list from critical points and both endpoints.
BC-PRQ-05004,BC-SKL-05024,supporting,inferred,Prerequisite for Assemble the candidate list from critical points and both endpoints.
BC-SKL-05024,BC-SKL-05025,hard_prerequisite,inferred,Prerequisite for Evaluate the function at every candidate.
BC-PRQ-06005,BC-SKL-05025,supporting,inferred,Prerequisite for Evaluate the function at every candidate.
BC-SKL-05025,BC-SKL-05026,hard_prerequisite,inferred,Prerequisite for Compare the candidate values and name the absolute extremum.
BC-SKL-05026,BC-SKL-05027,hard_prerequisite,inferred,Prerequisite for Report the extreme value rather than only its location.
BC-SKL-05025,BC-SKL-05028,hard_prerequisite,inferred,Prerequisite for Write a global justification covering every candidate.
BC-SKL-05026,BC-SKL-05028,hard_prerequisite,inferred,Prerequisite for Write a global justification covering every candidate.
BC-SKL-05016,BC-SKL-05029,hard_prerequisite,inferred,Prerequisite for Justify an absolute extremum from the sign of the derivative across the interval.
BC-SKL-05024,BC-SKL-05029,hard_prerequisite,inferred,Prerequisite for Justify an absolute extremum from the sign of the derivative across the interval.
BC-PRQ-05001,BC-SKL-05030,supporting,inferred,Prerequisite for Determine intervals of concavity from the sign of the second derivative.
BC-PRQ-05002,BC-SKL-05030,supporting,inferred,Prerequisite for Determine intervals of concavity from the sign of the second derivative.
BC-PRQ-05006,BC-SKL-05031,supporting,inferred,Prerequisite for Determine concavity from whether the derivative graph rises or falls.
BC-PRQ-05001,BC-SKL-05032,supporting,inferred,Prerequisite for Locate candidate points of inflection where the second derivative is zero or undefined.
BC-PRQ-05003,BC-SKL-05032,supporting,inferred,Prerequisite for Locate candidate points of inflection where the second derivative is zero or undefined.
BC-SKL-05032,BC-SKL-05033,hard_prerequisite,inferred,Prerequisite for Confirm a point of inflection by a sign change of the second derivative.
BC-SKL-05031,BC-SKL-05033,hard_prerequisite,inferred,Prerequisite for Confirm a point of inflection by a sign change of the second derivative.
BC-SKL-05033,BC-SKL-05034,hard_prerequisite,inferred,Prerequisite for Reject a candidate where the second derivative is zero without a sign change.
BC-SKL-05033,BC-SKL-05035,hard_prerequisite,inferred,Prerequisite for Tie a concavity or inflection reason to the representation that was given.
BC-SKL-05010,BC-SKL-05036,hard_prerequisite,inferred,Prerequisite for Apply the second derivative test at a critical point.
BC-SKL-05030,BC-SKL-05036,hard_prerequisite,inferred,Prerequisite for Apply the second derivative test at a critical point.
BC-SKL-05036,BC-SKL-05037,hard_prerequisite,inferred,Prerequisite for State the inconclusive case of the second derivative test.
BC-SKL-05036,BC-SKL-05038,hard_prerequisite,inferred,Prerequisite for Extend a sole relative extremum to an absolute extremum on the interval.
