from,to,type,evidence_tag,note
BC-PRQ-10004,BC-SKL-10001,supporting,inferred,Prerequisite for Determine whether a sequence converges and find its limit.
BC-PRQ-06006,BC-SKL-10002,supporting,inferred,Prerequisite for Compute the nth partial sum of a series.
BC-PRQ-10008,BC-SKL-10002,supporting,inferred,Prerequisite for Compute the nth partial sum of a series.
BC-PRQ-10004,BC-SKL-10003,supporting,inferred,Prerequisite for Determine convergence of a series from the limit of its partial sums.
BC-PRQ-10003,BC-SKL-10004,supporting,inferred,Prerequisite for Evaluate a telescoping series through its partial sums.
BC-PRQ-10008,BC-SKL-10004,supporting,inferred,Prerequisite for Evaluate a telescoping series through its partial sums.
BC-PRQ-06005,BC-SKL-10005,supporting,inferred,Prerequisite for Distinguish a sequence from its associated series.
BC-PRQ-10005,BC-SKL-10006,supporting,inferred,Prerequisite for Identify a series as geometric and state its first term and ratio.
BC-PRQ-10008,BC-SKL-10006,supporting,inferred,Prerequisite for Identify a series as geometric and state its first term and ratio.
BC-PRQ-10001,BC-SKL-10007,supporting,inferred,Prerequisite for Apply the convergence condition for a geometric series.
BC-PRQ-10005,BC-SKL-10008,supporting,inferred,Prerequisite for Compute the sum of a convergent geometric series.
BC-PRQ-10003,BC-SKL-10009,supporting,inferred,Prerequisite for Sum a geometric series whose index does not start at zero.
BC-PRQ-10008,BC-SKL-10009,supporting,inferred,Prerequisite for Sum a geometric series whose index does not start at zero.
BC-PRQ-10001,BC-SKL-10010,supporting,inferred,Prerequisite for Sum a geometric series whose ratio contains the variable.
BC-PRQ-10005,BC-SKL-10010,supporting,inferred,Prerequisite for Sum a geometric series whose ratio contains the variable.
BC-PRQ-10004,BC-SKL-10011,supporting,inferred,Prerequisite for Evaluate the limit of the general term of a series.
BC-PRQ-10008,BC-SKL-10011,supporting,inferred,Prerequisite for Evaluate the limit of the general term of a series.
BC-PRQ-10004,BC-SKL-10012,supporting,inferred,Prerequisite for Conclude divergence when the general term does not approach zero.
BC-PRQ-06005,BC-SKL-10013,supporting,inferred,Prerequisite for State that the nth term test is inconclusive when the limit is zero.
BC-PRQ-06005,BC-SKL-10014,supporting,inferred,Prerequisite for State and verify the conditions required by the integral test.
BC-PRQ-06005,BC-SKL-10015,supporting,inferred,Prerequisite for Set up the improper integral that matches the series.
BC-PRQ-06013,BC-SKL-10015,supporting,inferred,Prerequisite for Set up the improper integral that matches the series.
BC-PRQ-06002,BC-SKL-10016,supporting,inferred,Prerequisite for Evaluate the improper integral using limit notation.
BC-PRQ-06003,BC-SKL-10016,supporting,inferred,Prerequisite for Evaluate the improper integral using limit notation.
BC-PRQ-06005,BC-SKL-10017,supporting,inferred,Prerequisite for Conclude convergence or divergence of the series from the integral.
BC-PRQ-06002,BC-SKL-10018,supporting,inferred,Prerequisite for Classify a series as harmonic
BC-PRQ-10008,BC-SKL-10018,supporting,inferred,Prerequisite for Classify a series as harmonic
BC-PRQ-06002,BC-SKL-10019,supporting,inferred,Prerequisite for Apply the p-series criterion.
BC-PRQ-06005,BC-SKL-10020,supporting,inferred,Prerequisite for Recall the behaviour of the harmonic and alternating harmonic series.
BC-PRQ-10008,BC-SKL-10021,supporting,inferred,Prerequisite for Select an appropriate convergence test from the form of the general term.
BC-PRQ-10005,BC-SKL-10021,supporting,inferred,Prerequisite for Select an appropriate convergence test from the form of the general term.
BC-PRQ-10004,BC-SKL-10022,supporting,inferred,Prerequisite for Choose a comparison series for a given series.
BC-PRQ-06002,BC-SKL-10022,supporting,inferred,Prerequisite for Choose a comparison series for a given series.
BC-PRQ-10004,BC-SKL-10023,supporting,inferred,Prerequisite for Establish the term-by-term inequality for a direct comparison.
BC-PRQ-06005,BC-SKL-10024,supporting,inferred,Prerequisite for Conclude convergence or divergence by direct comparison.
BC-PRQ-10004,BC-SKL-10025,supporting,inferred,Prerequisite for Set up the limit comparison ratio with limit notation.
BC-PRQ-10007,BC-SKL-10025,supporting,inferred,Prerequisite for Set up the limit comparison ratio with limit notation.
BC-PRQ-10004,BC-SKL-10026,supporting,inferred,Prerequisite for Conclude from a positive finite limit in a limit comparison.
BC-PRQ-10008,BC-SKL-10027,supporting,inferred,Prerequisite for Recognise a series as alternating.
BC-PRQ-10004,BC-SKL-10028,supporting,inferred,Prerequisite for Verify that the terms decrease in absolute value.
BC-PRQ-10004,BC-SKL-10029,supporting,inferred,Prerequisite for Verify that the terms tend to zero.
BC-PRQ-06005,BC-SKL-10030,supporting,inferred,Prerequisite for Conclude convergence by the alternating series test with both conditions stated.
BC-PRQ-10002,BC-SKL-10031,supporting,inferred,Prerequisite for Set up the ratio of consecutive terms of a series.
BC-PRQ-10007,BC-SKL-10031,supporting,inferred,Prerequisite for Set up the ratio of consecutive terms of a series.
BC-PRQ-10008,BC-SKL-10031,supporting,inferred,Prerequisite for Set up the ratio of consecutive terms of a series.
BC-PRQ-10002,BC-SKL-10032,supporting,inferred,Prerequisite for Evaluate the limit of the ratio of consecutive terms.
BC-PRQ-10004,BC-SKL-10032,supporting,inferred,Prerequisite for Evaluate the limit of the ratio of consecutive terms.
BC-PRQ-10007,BC-SKL-10032,supporting,inferred,Prerequisite for Evaluate the limit of the ratio of consecutive terms.
BC-PRQ-10001,BC-SKL-10033,supporting,inferred,Prerequisite for Conclude from the value of the ratio limit
BC-PRQ-10008,BC-SKL-10034,supporting,inferred,Prerequisite for Test the series of absolute values.
BC-PRQ-06005,BC-SKL-10035,supporting,inferred,Prerequisite for Classify a series as absolutely convergent.
BC-PRQ-06005,BC-SKL-10036,supporting,inferred,Prerequisite for Classify a series as conditionally convergent.
