from,to,type,evidence_tag,note
BC-PRQ-06005,BC-SKL-08001,supporting,inferred,Prerequisite for Apply the average value formula to a function given by a formula.
BC-PRQ-06007,BC-SKL-08002,supporting,inferred,Prerequisite for Compute an average value from a graph using geometry.
BC-PRQ-08006,BC-SKL-08003,supporting,inferred,Prerequisite for Present the calculator setup for an average value and report it.
BC-PRQ-06005,BC-SKL-08004,supporting,inferred,Prerequisite for Distinguish average value from average rate of change.
BC-PRQ-06005,BC-SKL-08005,supporting,inferred,Prerequisite for State the meaning and units of an average value in context.
BC-PRQ-06005,BC-SKL-08006,supporting,inferred,Prerequisite for Compute displacement as the definite integral of velocity.
BC-PRQ-08003,BC-SKL-08007,supporting,inferred,Prerequisite for Compute total distance as the definite integral of speed.
BC-PRQ-08001,BC-SKL-08008,supporting,inferred,Prerequisite for Split a time interval at the sign changes of velocity.
BC-PRQ-08003,BC-SKL-08008,supporting,inferred,Prerequisite for Split a time interval at the sign changes of velocity.
BC-PRQ-06005,BC-SKL-08009,supporting,inferred,Prerequisite for Determine a position value from an initial position and velocity.
BC-PRQ-06005,BC-SKL-08010,supporting,inferred,Prerequisite for Determine a velocity value from an initial velocity and acceleration.
BC-PRQ-06005,BC-SKL-08011,supporting,inferred,Prerequisite for Select displacement or total distance from the wording of a prompt.
BC-PRQ-06005,BC-SKL-08012,supporting,inferred,Prerequisite for Express the amount at a time as an initial amount plus an integral.
BC-PRQ-06005,BC-SKL-08013,supporting,inferred,Prerequisite for Set up a net rate as rate in minus rate out.
BC-PRQ-08001,BC-SKL-08014,supporting,inferred,Prerequisite for Determine when an accumulated amount is maximal and justify globally.
BC-PRQ-06005,BC-SKL-08015,supporting,inferred,Prerequisite for Interpret a definite integral of a rate in context with units.
BC-PRQ-06005,BC-SKL-08016,supporting,inferred,Prerequisite for Write a definite integral expression that answers an applied question.
BC-PRQ-08006,BC-SKL-08017,supporting,inferred,Prerequisite for Evaluate an applied accumulation integral and report it in context.
BC-PRQ-06005,BC-SKL-08018,supporting,inferred,Prerequisite for Identify which curve is upper on an interval.
BC-PRQ-06005,BC-SKL-08019,supporting,inferred,Prerequisite for Set up the area integral of upper minus lower with respect to x.
BC-PRQ-08001,BC-SKL-08020,supporting,inferred,Prerequisite for Find intersection points algebraically to set the limits.
BC-PRQ-08006,BC-SKL-08021,supporting,inferred,Prerequisite for Find intersection points with a calculator to set the limits.
BC-PRQ-06002,BC-SKL-08022,supporting,inferred,Prerequisite for Evaluate an area integral and report the area.
BC-PRQ-08002,BC-SKL-08023,supporting,inferred,Prerequisite for Rewrite a curve as a function of y.
BC-PRQ-06005,BC-SKL-08024,supporting,inferred,Prerequisite for Identify which curve is to the right on an interval of y.
BC-PRQ-08002,BC-SKL-08025,supporting,inferred,Prerequisite for Set up and evaluate an area integral with respect to y.
BC-PRQ-08002,BC-SKL-08026,supporting,inferred,Prerequisite for Choose whether to integrate in x or in y for a given region.
BC-PRQ-08001,BC-SKL-08027,supporting,inferred,Prerequisite for Locate every intersection point and order them.
BC-PRQ-06005,BC-SKL-08028,supporting,inferred,Prerequisite for Determine which curve is greater on each subinterval.
BC-PRQ-06005,BC-SKL-08029,supporting,inferred,Prerequisite for Write the area as a sum of definite integrals over the subintervals.
BC-PRQ-08003,BC-SKL-08030,supporting,inferred,Prerequisite for Write the area as the integral of the absolute value of the difference.
BC-PRQ-08004,BC-SKL-08031,supporting,inferred,Prerequisite for Express the side of a cross section as the distance between the curves.
BC-PRQ-08004,BC-SKL-08032,supporting,inferred,Prerequisite for Set up the volume integral for square cross sections.
BC-PRQ-08004,BC-SKL-08033,supporting,inferred,Prerequisite for Set up the volume integral for rectangular cross sections.
BC-PRQ-08002,BC-SKL-08034,supporting,inferred,Prerequisite for Determine the axis the cross sections are perpendicular to.
BC-PRQ-06002,BC-SKL-08035,supporting,inferred,Prerequisite for Evaluate a cross section volume integral.
BC-PRQ-08005,BC-SKL-08036,supporting,inferred,Prerequisite for Write the area of an equilateral triangular cross section.
BC-PRQ-08005,BC-SKL-08037,supporting,inferred,Prerequisite for Write the area of a right isosceles triangular cross section.
BC-PRQ-06007,BC-SKL-08038,supporting,inferred,Prerequisite for Write the area of a semicircular cross section from the diameter.
BC-PRQ-06002,BC-SKL-08039,supporting,inferred,Prerequisite for Set up and evaluate the volume integral for a named cross section.
BC-PRQ-08004,BC-SKL-08040,supporting,inferred,Prerequisite for Identify the radius of a disc as the distance to the axis.
BC-PRQ-08004,BC-SKL-08041,supporting,inferred,Prerequisite for Set up the disc integral about the x axis.
BC-PRQ-08002,BC-SKL-08042,supporting,inferred,Prerequisite for Set up the disc integral about the y axis.
BC-PRQ-06002,BC-SKL-08043,supporting,inferred,Prerequisite for Evaluate a disc volume and report it with the factor of pi.
BC-PRQ-08004,BC-SKL-08044,supporting,inferred,Prerequisite for Write the radius as the distance from a curve to a horizontal line.
BC-PRQ-08002,BC-SKL-08045,supporting,inferred,Prerequisite for Write the radius as the distance from a curve to a vertical line.
BC-PRQ-08004,BC-SKL-08046,supporting,inferred,Prerequisite for Set up the disc integral about a line other than an axis.
BC-PRQ-08004,BC-SKL-08047,supporting,inferred,Prerequisite for Keep the limits of integration unchanged when the axis shifts.
BC-PRQ-08004,BC-SKL-08048,supporting,inferred,Prerequisite for Identify the outer and inner radii of a washer.
BC-PRQ-08004,BC-SKL-08049,supporting,inferred,Prerequisite for Set up the washer integral about the x axis.
BC-PRQ-08002,BC-SKL-08050,supporting,inferred,Prerequisite for Set up the washer integral about the y axis.
BC-PRQ-06002,BC-SKL-08051,supporting,inferred,Prerequisite for Subtract the squares of the radii rather than squaring their difference.
BC-PRQ-08004,BC-SKL-08052,supporting,inferred,Prerequisite for Write both washer radii as distances from a horizontal line.
BC-PRQ-08002,BC-SKL-08053,supporting,inferred,Prerequisite for Write both washer radii as distances from a vertical line.
BC-PRQ-08004,BC-SKL-08054,supporting,inferred,Prerequisite for Determine which boundary curve is farther from the shifted axis.
BC-PRQ-08004,BC-SKL-08055,supporting,inferred,Prerequisite for Set up the washer integral about a line other than an axis.
BC-PRQ-08007,BC-SKL-08056,supporting,inferred,Prerequisite for State the arc length integral for a function on an interval.
BC-PRQ-06005,BC-SKL-08057,supporting,inferred,Prerequisite for Set up an arc length integral from a described curve.
BC-PRQ-06005,BC-SKL-08058,supporting,inferred,Prerequisite for Identify a given integral as an arc length and name the interval.
BC-PRQ-08006,BC-SKL-08059,supporting,inferred,Prerequisite for Evaluate an arc length integral with technology.
