from,to,type,evidence_tag,note
BC-PRQ-06005,BC-SKL-01001,supporting,inferred,Prerequisite for Compute an average rate of change over an interval.
BC-PRQ-06005,BC-SKL-01002,supporting,inferred,Prerequisite for Explain why an average rate of change is undefined at a single point.
BC-PRQ-06005,BC-SKL-01003,supporting,inferred,Prerequisite for Describe an instantaneous rate as a limit of average rates.
BC-PRQ-06005,BC-SKL-01004,supporting,inferred,Prerequisite for Estimate an instantaneous rate from average rates over shrinking intervals.
BC-PRQ-06005,BC-SKL-01005,supporting,inferred,Prerequisite for Write a limit statement in correct analytic notation.
BC-PRQ-06005,BC-SKL-01006,supporting,inferred,Prerequisite for Interpret a limit statement given in analytic notation.
BC-PRQ-06005,BC-SKL-01007,supporting,inferred,Prerequisite for Write one sided limit notation.
BC-PRQ-06005,BC-SKL-01008,supporting,inferred,Prerequisite for Distinguish the limit at a point from the function value at that point.
BC-PRQ-06005,BC-SKL-01009,supporting,inferred,Prerequisite for Estimate a two sided limit from a graph.
BC-PRQ-06005,BC-SKL-01010,supporting,inferred,Prerequisite for Estimate one sided limits from a graph.
BC-PRQ-01003,BC-SKL-01011,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the one sided limits differ.
BC-PRQ-01006,BC-SKL-01011,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the one sided limits differ.
BC-PRQ-01009,BC-SKL-01012,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the function is unbounded.
BC-PRQ-01005,BC-SKL-01013,supporting,inferred,Prerequisite for Determine that a limit fails to exist because the function oscillates.
BC-PRQ-06005,BC-SKL-01014,supporting,inferred,Prerequisite for Explain how the scale of a graph can hide function behaviour.
BC-PRQ-06005,BC-SKL-01015,supporting,inferred,Prerequisite for Estimate a two sided limit from a table of values.
BC-PRQ-06005,BC-SKL-01016,supporting,inferred,Prerequisite for Estimate a one sided limit from a table of values.
BC-PRQ-06005,BC-SKL-01017,supporting,inferred,Prerequisite for Judge whether a table supports a limit value or is inconclusive.
BC-PRQ-06005,BC-SKL-01018,supporting,inferred,Prerequisite for Apply the sum and difference limit theorems.
BC-PRQ-06005,BC-SKL-01019,supporting,inferred,Prerequisite for Apply the product and constant multiple limit theorems.
BC-PRQ-06005,BC-SKL-01020,supporting,inferred,Prerequisite for Apply the quotient limit theorem and check the denominator condition.
BC-PRQ-01008,BC-SKL-01021,supporting,inferred,Prerequisite for Evaluate a limit by direct substitution where the function is continuous.
BC-PRQ-06005,BC-SKL-01022,supporting,inferred,Prerequisite for Apply the limit theorem for composite functions.
BC-PRQ-01003,BC-SKL-01023,supporting,inferred,Prerequisite for Determine a two sided limit by matching one sided limits of a piecewise rule.
BC-PRQ-01001,BC-SKL-01024,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by factoring and dividing out a common factor.
BC-PRQ-01002,BC-SKL-01025,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by multiplying by a conjugate.
BC-PRQ-01007,BC-SKL-01026,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by simplifying a complex fraction.
BC-PRQ-01005,BC-SKL-01027,supporting,inferred,Prerequisite for Evaluate an indeterminate limit by rewriting with trigonometric identities.
BC-PRQ-01001,BC-SKL-01028,supporting,inferred,Prerequisite for Recognise an indeterminate form as a signal that rewriting is needed.
BC-PRQ-01001,BC-SKL-01029,supporting,inferred,Prerequisite for Classify a limit expression by its form under substitution.
BC-PRQ-01001,BC-SKL-01030,supporting,inferred,Prerequisite for Select an appropriate procedure for a given limit expression.
BC-PRQ-01008,BC-SKL-01031,supporting,inferred,Prerequisite for Recognise when substitution already settles the limit.
BC-PRQ-01010,BC-SKL-01032,supporting,inferred,Prerequisite for State the hypotheses of the squeeze theorem.
BC-PRQ-01005,BC-SKL-01033,supporting,inferred,Prerequisite for Verify the bounding inequality on an interval around the point.
BC-PRQ-01010,BC-SKL-01034,supporting,inferred,Prerequisite for Conclude a limit value from matching bounds.
BC-PRQ-01005,BC-SKL-01035,supporting,inferred,Prerequisite for Apply the squeeze theorem to a bounded oscillating factor.
BC-PRQ-06005,BC-SKL-01036,supporting,inferred,"Prerequisite for Match a graph, a table, and an analytic expression of the same limit."
BC-PRQ-06005,BC-SKL-01037,supporting,inferred,Prerequisite for Translate a limit statement into a verbal description of behaviour.
BC-PRQ-01003,BC-SKL-01038,supporting,inferred,Prerequisite for Sketch a graph consistent with stated limit and value conditions.
BC-PRQ-01001,BC-SKL-01039,supporting,inferred,Prerequisite for Classify a removable discontinuity.
BC-PRQ-01003,BC-SKL-01040,supporting,inferred,Prerequisite for Classify a jump discontinuity.
BC-PRQ-01006,BC-SKL-01040,supporting,inferred,Prerequisite for Classify a jump discontinuity.
BC-PRQ-01009,BC-SKL-01041,supporting,inferred,Prerequisite for Classify a discontinuity due to a vertical asymptote.
BC-PRQ-01003,BC-SKL-01042,supporting,inferred,Prerequisite for Identify the discontinuities of a piecewise defined function from its rule.
BC-PRQ-01008,BC-SKL-01042,supporting,inferred,Prerequisite for Identify the discontinuities of a piecewise defined function from its rule.
BC-PRQ-06005,BC-SKL-01043,supporting,inferred,Prerequisite for State the three conditions of continuity at a point.
BC-PRQ-01003,BC-SKL-01044,supporting,inferred,Prerequisite for Test continuity at a point by checking the three conditions.
BC-PRQ-06005,BC-SKL-01045,supporting,inferred,Prerequisite for Justify a continuity conclusion by naming the failed condition.
BC-PRQ-01008,BC-SKL-01046,supporting,inferred,Prerequisite for Determine intervals of continuity from the domain of an expression.
BC-PRQ-01008,BC-SKL-01047,supporting,inferred,Prerequisite for Name the function families continuous on their domains.
BC-PRQ-01003,BC-SKL-01048,supporting,inferred,Prerequisite for Determine continuity of a piecewise function on an interval.
BC-PRQ-01010,BC-SKL-01049,supporting,inferred,Prerequisite for Distinguish continuity on an open interval from continuity on a closed interval.
BC-PRQ-01001,BC-SKL-01050,supporting,inferred,Prerequisite for Redefine a function value to remove a removable discontinuity.
BC-PRQ-01003,BC-SKL-01051,supporting,inferred,Prerequisite for Solve for a parameter making a piecewise function continuous at a boundary.
BC-PRQ-01003,BC-SKL-01052,supporting,inferred,Prerequisite for Solve for two parameters using continuity conditions at two boundaries.
BC-PRQ-01003,BC-SKL-01053,supporting,inferred,Prerequisite for Decide whether a discontinuity can be removed.
BC-PRQ-01009,BC-SKL-01054,supporting,inferred,Prerequisite for Write an infinite limit using correct notation.
BC-PRQ-01009,BC-SKL-01055,supporting,inferred,Prerequisite for Determine one sided infinite limits by sign analysis near a zero of the denominator.
BC-PRQ-01001,BC-SKL-01056,supporting,inferred,Prerequisite for Identify vertical asymptotes from an expression after simplification.
BC-PRQ-01001,BC-SKL-01057,supporting,inferred,Prerequisite for Distinguish a vertical asymptote from a removable discontinuity at the same input.
BC-PRQ-01004,BC-SKL-01058,supporting,inferred,Prerequisite for Evaluate the limit of a rational function at infinity by comparing degrees.
BC-PRQ-01004,BC-SKL-01059,supporting,inferred,Prerequisite for Identify horizontal asymptotes from limits at infinity.
BC-PRQ-06005,BC-SKL-01060,supporting,inferred,Prerequisite for Write a limit expression describing end behaviour in context.
BC-PRQ-01004,BC-SKL-01061,supporting,inferred,Prerequisite for Evaluate limits at infinity for expressions containing radicals.
BC-PRQ-01004,BC-SKL-01062,supporting,inferred,Prerequisite for Compare relative magnitudes of growth using limits.
BC-PRQ-01004,BC-SKL-01063,supporting,inferred,Prerequisite for Distinguish the limit at positive infinity from the limit at negative infinity.
BC-PRQ-01010,BC-SKL-01064,supporting,inferred,Prerequisite for State the hypotheses of the Intermediate Value Theorem.
BC-PRQ-01008,BC-SKL-01065,supporting,inferred,Prerequisite for Verify the continuity hypothesis before applying the theorem.
BC-PRQ-01010,BC-SKL-01066,supporting,inferred,Prerequisite for Verify that the target value lies between the endpoint values.
BC-PRQ-01010,BC-SKL-01067,supporting,inferred,Prerequisite for State the conclusion of the theorem with the correct interval.
BC-PRQ-01010,BC-SKL-01068,supporting,inferred,Prerequisite for Apply the Intermediate Value Theorem to a function given by a table.
BC-SKL-01005,BC-SKL-01007,hard_prerequisite,inferred,One sided notation builds on the two sided limit notation.
BC-SKL-01010,BC-SKL-01011,hard_prerequisite,inferred,Reading one sided limits precedes concluding nonexistence from disagreement.
BC-SKL-01009,BC-SKL-01015,supporting,inferred,Graphical estimation and numerical estimation support the same limit concept.
BC-SKL-01021,BC-SKL-01029,hard_prerequisite,inferred,Substitution must be available before an expression can be classified by its form under substitution.
BC-SKL-01028,BC-SKL-01024,hard_prerequisite,inferred,Recognising the indeterminate form precedes selecting a rewriting technique.
BC-SKL-01028,BC-SKL-01025,hard_prerequisite,inferred,Recognising the indeterminate form precedes selecting a rewriting technique.
BC-SKL-01028,BC-SKL-01026,hard_prerequisite,inferred,Recognising the indeterminate form precedes selecting a rewriting technique.
BC-SKL-01028,BC-SKL-01027,hard_prerequisite,inferred,Recognising the indeterminate form precedes selecting a rewriting technique.
BC-SKL-01029,BC-SKL-01030,hard_prerequisite,inferred,Classification of the form precedes selection of the procedure.
BC-SKL-01032,BC-SKL-01034,hard_prerequisite,inferred,The conclusion of the squeeze theorem rests on its stated hypotheses.
BC-SKL-01033,BC-SKL-01035,hard_prerequisite,inferred,Bounding an oscillating factor is the step that produces the inequality.
BC-SKL-01023,BC-SKL-01044,hard_prerequisite,inferred,Testing continuity at a boundary requires the one sided limits of the branches.
BC-SKL-01043,BC-SKL-01044,hard_prerequisite,inferred,The three conditions must be stated before they can be tested.
BC-SKL-01044,BC-SKL-01045,hard_prerequisite,inferred,A justification names the condition that the test found to fail.
BC-SKL-01039,BC-SKL-01050,hard_prerequisite,inferred,Removing a discontinuity requires that it be classified as removable first.
BC-SKL-01044,BC-SKL-01051,hard_prerequisite,inferred,Solving for a parameter applies the continuity test with an unknown in place.
BC-SKL-01051,BC-SKL-01052,hard_prerequisite,inferred,Two boundary conditions extend the single boundary case.
BC-SKL-01041,BC-SKL-01057,supporting,inferred,Distinguishing an asymptote from a removable break uses both classifications.
BC-SKL-01055,BC-SKL-01054,supporting,inferred,Sign analysis supplies the content that the infinite limit notation records.
BC-SKL-01058,BC-SKL-01059,hard_prerequisite,inferred,A horizontal asymptote is read off a limit at infinity.
BC-SKL-01058,BC-SKL-01061,hard_prerequisite,inferred,The radical case extends the degree comparison method.
BC-SKL-01059,BC-SKL-01063,supporting,inferred,Two ends are handled by the same method applied twice.
BC-SKL-01047,BC-SKL-01046,hard_prerequisite,inferred,Naming the families continuous on their domains supports reading intervals of continuity off the domain.
BC-SKL-01046,BC-SKL-01048,hard_prerequisite,inferred,Branch by branch continuity uses the domain based determination.
BC-SKL-01064,BC-SKL-01065,hard_prerequisite,inferred,The hypotheses must be known before one of them can be verified.
BC-SKL-01064,BC-SKL-01066,hard_prerequisite,inferred,The hypotheses must be known before one of them can be verified.
BC-SKL-01065,BC-SKL-01067,hard_prerequisite,inferred,The conclusion may be stated only once the hypotheses are established.
BC-SKL-01066,BC-SKL-01067,hard_prerequisite,inferred,The conclusion may be stated only once the hypotheses are established.
BC-SKL-01067,BC-SKL-01068,hard_prerequisite,inferred,The tabular application assembles the hypotheses and the conclusion.
BC-SKL-01043,BC-SKL-01065,hard_prerequisite,inferred,Verifying the continuity hypothesis rests on the definition of continuity.
BC-SKL-01001,BC-SKL-01003,hard_prerequisite,inferred,The limiting description is built on the average rate computation.
BC-SKL-01003,BC-SKL-01004,hard_prerequisite,inferred,Estimating an instantaneous rate applies the limiting description.
BC-SKL-01006,BC-SKL-01037,supporting,inferred,Verbal translation of a limit statement builds on reading the notation.
BC-SKL-01040,BC-SKL-02024,supporting,inferred,Jump discontinuity classification supports the Unit 2 treatment of points where a derivative fails to exist
BC-SKL-01043,BC-SKL-02019,hard_prerequisite,inferred,Continuity at a point is the conclusion drawn from differentiability in Unit 2 topic 2.4; no Unit 2 skill id exists in data/skills.json at the time of writing.
BC-SKL-01003,BC-SKL-02005,hard_prerequisite,inferred,The instantaneous rate as a limit of average rates is the Unit 2 definition of the derivative.
BC-SKL-01024,BC-TOP-0202,hard_prerequisite,inferred,Evaluating an indeterminate limit by rewriting is the technique used on the difference quotient limit in Unit 2 topic 2.2; unmapped
BC-SKL-01021,BC-TOP-0202,supporting,inferred,Direct substitution is the closing step of a derivative computed from the limit definition; unmapped
BC-SKL-01065,BC-TOP-0504,supporting,inferred,The continuity hypothesis recurs in the existence theorems of Unit 5; unmapped
BC-SKL-01067,BC-SKL-05001,supporting,inferred,Existence conclusions of the Intermediate Value Theorem pattern the Mean Value Theorem conclusions in Unit 5 topic 5.1.
BC-SKL-01058,BC-SKL-04034,hard_prerequisite,inferred,Limits at infinity and indeterminate forms are the setting for L'Hospital's rule at Unit 4 topic 4.7
BC-SKL-01028,BC-SKL-04037,hard_prerequisite,inferred,Identifying an indeterminate form is the entry condition for L'Hospital's rule at Unit 4 topic 4.7.
BC-SKL-01059,BC-SKL-05031,supporting,inferred,Horizontal asymptotes contribute to the graph analysis of Unit 5
BC-SKL-01054,BC-SKL-06066,hard_prerequisite,inferred,Infinite limits underlie the improper integral treatment at Unit 6 topic 6.13
BC-SKL-01058,BC-TOP-0613,hard_prerequisite,inferred,Limits at infinity underlie the improper integral treatment at Unit 6 topic 6.13; unmapped
BC-SKL-01062,BC-TOP-1004,supporting,inferred,Relative magnitude comparison by limits supports the comparison tests of Unit 10; unmapped
BC-SKL-01015,BC-SKL-10001,supporting,inferred,Reading a limit from a sequence of values supports convergence of sequences at Unit 10 topic 10.1
