from,to,type,evidence_tag,note
BC-PRQ-02001,BC-SKL-02001,supporting,inferred,Prerequisite for Compute an average rate of change from the increment difference quotient.
BC-PRQ-02005,BC-SKL-02001,supporting,inferred,Prerequisite for Compute an average rate of change from the increment difference quotient.
BC-SKL-01001,BC-SKL-02002,supporting,inferred,Prerequisite for Compute an average rate of change from the two point difference quotient.
BC-SKL-01001,BC-SKL-02003,supporting,inferred,Prerequisite for Interpret an average rate of change in context with units.
BC-SKL-01003,BC-SKL-02004,supporting,inferred,Prerequisite for Distinguish an average rate of change from an instantaneous rate of change.
BC-SKL-01003,BC-SKL-02005,supporting,inferred,Prerequisite for Express an instantaneous rate of change as a limit of average rates.
BC-SKL-01005,BC-SKL-02005,supporting,inferred,Prerequisite for Express an instantaneous rate of change as a limit of average rates.
BC-PRQ-02005,BC-SKL-02006,supporting,inferred,Prerequisite for Write the derivative at a point using the increment form of the limit.
BC-PRQ-02005,BC-SKL-02007,supporting,inferred,Prerequisite for Write the derivative at a point using the two point form of the limit.
BC-PRQ-02005,BC-SKL-02008,supporting,inferred,Prerequisite for Write the derivative function using the limit definition.
BC-PRQ-02001,BC-SKL-02009,supporting,inferred,Prerequisite for Evaluate a derivative from the limit definition.
BC-SKL-01024,BC-SKL-02009,supporting,inferred,Prerequisite for Evaluate a derivative from the limit definition.
BC-PRQ-02004,BC-SKL-02010,supporting,inferred,Prerequisite for Convert among the notations for a derivative.
BC-SKL-01036,BC-SKL-02011,supporting,inferred,"Prerequisite for Represent a derivative graphically, numerically, and verbally."
BC-PRQ-02003,BC-SKL-02012,supporting,inferred,Prerequisite for Interpret the derivative at a point as the slope of the tangent line.
BC-PRQ-02003,BC-SKL-02013,supporting,inferred,Prerequisite for Write the equation of the line tangent to a curve at a given point.
BC-SKL-01001,BC-SKL-02014,supporting,inferred,Prerequisite for Estimate a derivative at a point from a table using a difference quotient.
BC-SKL-01001,BC-SKL-02015,supporting,inferred,Prerequisite for State the units of an estimated derivative in context.
BC-SKL-01016,BC-SKL-02016,supporting,inferred,Prerequisite for Select the interval of a table that supports the requested estimate.
BC-SKL-01009,BC-SKL-02017,supporting,inferred,Prerequisite for Estimate a derivative at a point from a graph.
BC-PRQ-02004,BC-SKL-02018,supporting,inferred,Prerequisite for Estimate a derivative at a point using technology.
BC-SKL-01043,BC-SKL-02019,supporting,inferred,Prerequisite for State that differentiability at a point implies continuity at that point.
