from,to,type,evidence_tag,note
BC-PRQ-06005,BC-SKL-09001,supporting,inferred,Prerequisite for Differentiate each component of a parametric curve with respect to the parameter.
BC-PRQ-06005,BC-SKL-09002,supporting,inferred,Prerequisite for Compute dy/dx for a parametric curve as a quotient of derivatives.
BC-PRQ-06005,BC-SKL-09003,supporting,inferred,Prerequisite for State the condition that dx/dt is not zero.
BC-PRQ-08006,BC-SKL-09004,supporting,inferred,Prerequisite for Evaluate the slope of the tangent at a parameter value.
BC-PRQ-06005,BC-SKL-09005,supporting,inferred,Prerequisite for Write the equation of the tangent line at a point on a parametric curve.
BC-PRQ-08001,BC-SKL-09006,supporting,inferred,Prerequisite for Locate parameter values where the tangent is horizontal or vertical.
BC-PRQ-06005,BC-SKL-09007,supporting,inferred,Prerequisite for Differentiate dy/dx with respect to the parameter.
BC-PRQ-06005,BC-SKL-09008,supporting,inferred,Prerequisite for Assemble the second derivative by dividing again by dx/dt.
BC-PRQ-08006,BC-SKL-09009,supporting,inferred,Prerequisite for Evaluate the second derivative at a parameter value.
BC-PRQ-06005,BC-SKL-09010,supporting,inferred,Prerequisite for Determine the concavity of a parametric curve from the sign of the second derivative.
BC-PRQ-08007,BC-SKL-09011,supporting,inferred,Prerequisite for Set up the arc length integral for a parametric curve.
BC-PRQ-08006,BC-SKL-09012,supporting,inferred,Prerequisite for Evaluate a parametric arc length integral with technology.
BC-PRQ-06005,BC-SKL-09013,supporting,inferred,Prerequisite for Identify the parametric arc length integral as the distance travelled.
BC-PRQ-09004,BC-SKL-09014,supporting,inferred,Prerequisite for Identify the parameter interval over which a length is measured.
BC-PRQ-09001,BC-SKL-09015,supporting,inferred,Prerequisite for Differentiate a vector-valued function component by component.
BC-PRQ-09001,BC-SKL-09016,supporting,inferred,Prerequisite for Evaluate the velocity vector at a given time.
BC-PRQ-09001,BC-SKL-09017,supporting,inferred,Prerequisite for Evaluate the acceleration vector as the derivative of velocity.
BC-PRQ-09001,BC-SKL-09018,supporting,inferred,Prerequisite for Convert between parametric equations and vector-valued notation.
BC-PRQ-09001,BC-SKL-09019,supporting,inferred,Prerequisite for Antidifferentiate a vector-valued function component by component.
BC-PRQ-06005,BC-SKL-09020,supporting,inferred,Prerequisite for Write the displacement as a definite integral of the velocity vector.
BC-PRQ-06005,BC-SKL-09021,supporting,inferred,Prerequisite for Determine a coordinate of position from an initial position and a velocity component.
BC-PRQ-06005,BC-SKL-09022,supporting,inferred,Prerequisite for Accumulate backwards in time from a known later position.
BC-PRQ-08007,BC-SKL-09023,supporting,inferred,Prerequisite for Compute the speed of a particle as the magnitude of its velocity.
BC-PRQ-08001,BC-SKL-09024,supporting,inferred,Prerequisite for Solve for a time at which the speed has a stated value.
BC-PRQ-09003,BC-SKL-09024,supporting,inferred,Prerequisite for Solve for a time at which the speed has a stated value.
BC-PRQ-08007,BC-SKL-09025,supporting,inferred,Prerequisite for Compute the total distance travelled as the integral of speed.
BC-PRQ-06005,BC-SKL-09026,supporting,inferred,Prerequisite for Determine a coordinate of the particle at a time from an initial condition.
BC-PRQ-08001,BC-SKL-09027,supporting,inferred,Prerequisite for Determine when a particle moves toward or away from a coordinate axis.
BC-PRQ-09001,BC-SKL-09028,supporting,inferred,Prerequisite for Present the acceleration vector at a time with its setup.
BC-PRQ-09002,BC-SKL-09029,supporting,inferred,Prerequisite for Convert a point on a polar curve to Cartesian coordinates.
BC-PRQ-09003,BC-SKL-09030,supporting,inferred,Prerequisite for Compute dr/dtheta for a polar curve and evaluate it.
BC-PRQ-06005,BC-SKL-09031,supporting,inferred,Prerequisite for Interpret dr/dtheta as the rate at which the distance from the origin changes.
BC-PRQ-06005,BC-SKL-09032,supporting,inferred,Prerequisite for Relate the rate of the distance from the origin in time to dr/dtheta.
BC-PRQ-09002,BC-SKL-09033,supporting,inferred,Prerequisite for Compute dy/dx for a polar curve.
BC-PRQ-08001,BC-SKL-09034,supporting,inferred,Prerequisite for Locate the point on a polar curve farthest from a coordinate axis.
BC-PRQ-06005,BC-SKL-09035,supporting,inferred,Prerequisite for State the polar area integral for a single curve.
BC-PRQ-09004,BC-SKL-09036,supporting,inferred,Prerequisite for Determine the angles that bound a polar region.
BC-PRQ-09002,BC-SKL-09037,supporting,inferred,Prerequisite for Identify the angle interval that traces one loop of a polar curve.
BC-PRQ-08006,BC-SKL-09038,supporting,inferred,Prerequisite for Evaluate a polar area integral and report the area.
BC-PRQ-09002,BC-SKL-09039,supporting,inferred,Prerequisite for Find the intersection angles of two polar curves.
BC-PRQ-08001,BC-SKL-09039,supporting,inferred,Prerequisite for Find the intersection angles of two polar curves.
BC-PRQ-09002,BC-SKL-09040,supporting,inferred,Prerequisite for Determine which polar curve is outer on an angle interval.
BC-PRQ-06005,BC-SKL-09041,supporting,inferred,Prerequisite for Set up the area integral between two polar curves.
BC-PRQ-08006,BC-SKL-09042,supporting,inferred,Prerequisite for Evaluate the area between two polar curves and report it.
BC-PRQ-09004,BC-SKL-09043,supporting,inferred,Prerequisite for Use symmetry or a sum of integrals for a polar region with several pieces.
BC-SKL-08056,BC-SKL-09011,hard_prerequisite,verified,The arc length integral for a function is the single variable form of the parametric length integral.
BC-SKL-08059,BC-SKL-09012,hard_prerequisite,verified,Evaluating a radical length integral with technology is the Unit 8 skill applied to a parametric integrand.
BC-SKL-08007,BC-SKL-09025,hard_prerequisite,verified,Total distance as the integral of speed is the rectilinear skill transported to planar motion.
BC-SKL-08009,BC-SKL-09026,hard_prerequisite,verified,A position value from an initial position is the rectilinear skill applied componentwise.
BC-SKL-08006,BC-SKL-09020,hard_prerequisite,verified,Displacement as the integral of velocity is the rectilinear skill applied componentwise.
BC-SKL-08051,BC-SKL-09041,supporting,verified,Subtracting the squares of the radii rather than squaring their difference is the washer skill of Unit 8.
BC-SKL-08019,BC-SKL-09041,supporting,inferred,Setting up an area as a difference of boundary curves is the Cartesian form of the polar area between curves.
BC-SKL-06034,BC-SKL-09038,hard_prerequisite,verified,Evaluating a definite integral by antidifferentiation underlies the polar area evaluation.
BC-SKL-06037,BC-SKL-09021,hard_prerequisite,verified,Computing a final value from an initial condition and an accumulated change is the Unit 6 form of this skill.
BC-SKL-03006,BC-SKL-09032,hard_prerequisite,inferred,The chain rule supplies the product of dr/dtheta with dtheta/dt; no Unit 3 skill id exists yet.
BC-SKL-02036,BC-SKL-09033,hard_prerequisite,inferred,The product rule is needed to differentiate r times a trigonometric factor; no Unit 2 skill id exists yet
BC-SKL-05028,BC-SKL-09034,hard_prerequisite,inferred,The candidates test supplies the global argument the 2025 guideline required; no Unit 5 skill id exists yet
